Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Dunbar-Broadway,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Gay Street,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Middle East,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Oldtown,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Penn-Fallsway,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Pleasant View Gardens,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
Pleasant View Gardens,Orangeville/E. Highlandtown,10021.0,21202,19374.1,2377.0
Pleasant View Gardens,Orangeville/E. Highlandtown,10021.0,21203,19374.1,48.0
Pleasant View Gardens,Orangeville/E. Highlandtown,10021.0,21204,19374.1,1467.0
Armistead Gardens,Claremont/Armistead,8231.0,21205,34885.4,1512.0
Orchard Ridge,Claremont/Armistead,8231.0,21205,34885.4,1512.0
Greenmount Cemetery,Greenmount East,8184.0,21205,27320.2,1512.0
Johnston Square,Greenmount East,8184.0,21205,27320.2,1512.0
Oliver,Greenmount East,8184.0,21205,27320.2,1512.0
Madison-Eastend,Madison/East End,7781.0,21205,33528.7,1512.0
McElderry Park,Madison/East End,7781.0,21205,33528.7,1512.0
Milton-Montford,Madison/East End,7781.0,21205,33528.7,1512.0
CARE,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Dunbar-Broadway,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Gay Street,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Middle East,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Oldtown,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Penn-Fallsway,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Pleasant View Gardens,Oldtown/Middle East,10021.0,21205,19374.1,1512.0
Cedmont,Cedonia/Frankford,23557.0,21206,44159.5,4594.0
Cedonia,Cedonia/Frankford,23557.0,21206,44159.5,4594.0
Frankford,Cedonia/Frankford,23557.0,21206,44159.5,4594.0
Parkside,Cedonia/Frankford,23557.0,21206,44159.5,4594.0
Armistead Gardens,Claremont/Armistead,8231.0,21206,34885.4,4594.0
Orchard Ridge,Claremont/Armistead,8231.0,21206,34885.4,4594.0
Glenham-Belford,Hamilton,13002.0,21206,71690.9,4594.0
Rosemont East,Hamilton,13002.0,21206,71690.9,4594.0
Westfield,Hamilton,13002.0,21206,71690.9,4594.0
Harford-Echodale/Perring Parkway,Harford/Echodale,16839.0,21206,56655.8,4594.0
North Harford Road,Harford/Echodale,16839.0,21206,56655.8,4594.0
Overlea,Harford/Echodale,16839.0,21206,56655.8,4594.0
Taylor Heights,Harford/Echodale,16839.0,21206,56655.8,4594.0
Arcadia,Lauraville,12273.0,21206,69536.6,4594.0
Belair-Parkside,Lauraville,12273.0,21206,69536.6,4594.0
Beverly Hills,Lauraville,12273.0,21206,69536.6,4594.0
Lauraville,Lauraville,12273.0,21206,69536.6,4594.0
Moravia-Walther,Lauraville,12273.0,21206,69536.6,4594.0
Morgan Park,Lauraville,12273.0,21206,69536.6,4594.0
Waltherson,Lauraville,12273.0,21206,69536.6,4594.0
Dickeyville,Dickeyville/Franklintown,4101.0,21207,37847.5,4094.0
